title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;country
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;canadian pop;2021;90;70;68;-6;42;46;198;32;12;84;CA
Pepas;Farruko;reggaeton;2021;130;77;76;-4;13;44;287;1;3;84;PR
positions;Ariana Grande;pop;2020;144;80;74;-5;9;68;172;47;9;84;US
PROVENZA;KAROL G;reggaeton;2022;111;52;87;-8;11;53;210;66;5;84;DE
Pumped Up Kicks;Foster The People;indietronica;2011;128;71;73;-6;10;97;240;14;3;84;US
Ric Flair Drip (with Metro Boomin);Offset;atl hip hop;2017;100;43;88;-8;11;33;173;15;21;84;US
Ride;Twenty One Pilots;modern rock;2015;75;71;65;-5;11;57;215;1;4;84;US
Safe And Sound;Capital Cities;metropopolis;2013;118;82;66;-5;10;77;193;0;3;84;US
See You Again (feat. Charlie Puth);Wiz Khalifa;hip hop;2015;80;48;69;-8;6;28;230;37;8;84;US
Story of My Life;One Direction;boy band;2013;121;66;60;-6;12;29;245;23;5;84;UNKNOWN
Summer;Calvin Harris;dance pop;2014;128;86;60;-4;14;74;223;2;3;84;UNKNOWN
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;dfw rap;2019;90;52;76;-4;7;93;158;53;6;84;US
Tarot;Bad Bunny;reggaeton;2022;114;68;80;-4;66;42;238;2;4;84;PR
THATS WHAT I WANT;Lil Nas X;lgbtq+ hip hop;2021;88;85;74;-5;5;55;144;1;22;84;US
The Motto;Tiësto;big room;2021;118;76;75;-5;9;46;165;3;4;84;NL
This Is What You Came For;Calvin Harris;dance pop;2016;124;93;63;-3;15;47;222;20;3;84;UNKNOWN
Toxic;Britney Spears;dance pop;2003;143;84;77;-4;24;92;199;2;11;84;US
Unforgettable;French Montana;hip hop;2017;98;77;73;-5;10;73;234;3;12;84;US
Uptown Funk (feat. Bruno Mars);Mark Ronson;pop soul;2015;115;61;86;-7;3;93;270;1;8;84;GB
Waiting For Love;Avicii;edm;2015;128;74;58;-4;20;61;231;31;5;84;SE
We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;pop;2016;100;56;73;-8;18;35;218;62;13;84;US
we fell in love in october;girl in red;alt z;2018;130;37;57;-13;16;24;184;11;3;84;UNKNOWN
Yeah! (feat. Lil Jon & Ludacris);Usher;atl hip hop;2004;105;79;89;-5;4;58;250;2;11;84;US
7 Years;Lukas Graham;danish pop;2016;120;47;77;-6;39;34;237;29;5;83;DK
a lot;21 Savage;atl hip hop;2018;146;64;84;-8;34;27;289;4;9;83;US
All The Small Things;blink-182;alternative metal;1999;149;90;43;-5;61;68;167;1;5;83;US
Baby;Justin Bieber;canadian pop;2010;65;86;73;-5;11;54;214;4;14;83;CA
Better Now;Post Malone;dfw rap;2018;145;58;68;-6;14;34;231;33;4;83;US
Bruises;Lewis Capaldi;pop;2019;111;31;74;-8;19;36;220;95;7;83;GB
Cake By The Ocean;DNCE;dance pop;2016;119;75;77;-5;4;90;219;15;5;83;US
Call Me Maybe;Carly Rae Jepsen;canadian pop;2012;120;58;78;-7;11;66;193;1;4;83;CA
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;pop rap;2012;146;92;64;-4;9;85;258;3;8;83;US
Can't Stop;Red Hot Chili Peppers;alternative rock;2002;91;94;62;-3;17;88;269;2;5;83;US
Clocks;Coldplay;permanent wave;2002;131;75;58;-7;18;26;308;60;3;83;GB
Congratulations;Post Malone;dfw rap;2016;123;80;63;-4;25;49;220;22;4;83;US
death bed (coffee for your head);Powfu;sad lo-fi;2020;144;43;73;-9;70;35;173;73;14;83;CA
Desesperados;Rauw Alejandro;puerto rican pop;2021;90;69;87;-3;9;51;225;36;8;83;PR
Don't Start Now;Dua Lipa;dance pop;2020;124;79;79;-5;10;68;183;1;8;83;GB
Don't You Worry Child - Radio Edit;Swedish House Mafia;edm;2012;129;84;61;-3;12;44;213;11;5;83;SE
Dynamite;BTS;k-pop;2020;114;77;75;-4;9;74;199;1;10;83;KR
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;modern rock;2021;77;78;73;-4;43;56;173;24;27;83;US
Feel So Close - Radio Edit;Calvin Harris;dance pop;2012;128;92;71;-3;20;92;206;0;3;83;UNKNOWN
First Class;Jack Harlow;deep underground hip hop;2022;107;58;90;-6;11;33;174;11;11;83;US
Gasolina;Daddy Yankee;latin hip hop;2004;96;80;85;-7;8;74;193;32;6;83;PR
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers];Daft Punk;electro;2013;116;81;79;-9;10;86;248;4;4;83;FR
Hate It Or Love It;The Game;gangster rap;2005;100;79;80;-5;12;44;206;14;21;83;US
Heartbreak Anniversary;Giveon;r&b;2020;89;47;45;-9;30;54;198;52;8;83;US
Hey Ya!;Outkast;atl hip hop;2003;80;97;73;-2;17;97;235;10;7;83;US
I Gotta Feeling;Black Eyed Peas;dance pop;2009;128;77;74;-6;51;61;289;9;3;83;US
I Like Me Better;Lauv;pop;2018;92;51;75;-8;10;42;197;53;26;83;US
I Want It That Way;Backstreet Boys;boy band;1999;99;69;69;-6;15;48;213;26;3;83;US
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;lgbtq+ hip hop;2021;150;70;74;-7;5;89;212;2;6;83;US
Just Give Me a Reason (feat. Nate Ruess);P!nk;dance pop;2012;95;55;78;-7;13;44;243;35;5;83;US
Leave The Door Open;Bruno Mars;dance pop;2021;148;62;59;-8;9;72;242;18;3;83;US
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Tainy;pop reggaeton;2021;170;70;64;-6;9;14;207;9;8;83;PR
Lose You To Love Me;Selena Gomez;pop;2020;103;34;49;-9;21;10;206;56;4;83;US
Love You Like A Love Song;Selena Gomez & The Scene;pop;2011;117;68;86;-4;7;92;188;8;5;83;US
