title,artist,top genre,year,bpm,energy,danceability ,dB,liveness,valence,duration,acousticness,speechiness ,popularity,country
P.I.M.P.,50 Cent,east coast hip hop,2003.0,85.0,77.0,71.0,-3.0,4.0,85.0,249.0,5.0,35.0,80.0,US
Are You Gonna Be My Girl,Jet,garage rock,2003.0,105.0,95.0,61.0,-3.0,15.0,54.0,214.0,0.0,9.0,78.0,AU
I Miss You,blink-182,alternative metal,2003.0,110.0,71.0,42.0,-8.0,9.0,59.0,227.0,0.0,5.0,78.0,US
21 Questions,50 Cent,east coast hip hop,2003.0,93.0,81.0,65.0,-4.0,4.0,90.0,224.0,35.0,30.0,77.0,US
Reptilia,The Strokes,alternative rock,2003.0,158.0,65.0,49.0,-5.0,10.0,77.0,220.0,0.0,3.0,77.0,US
Behind Blue Eyes,Limp Bizkit,alternative metal,2003.0,120.0,49.0,60.0,-7.0,12.0,9.0,270.0,50.0,3.0,76.0,US
I Hate Everything About You,Three Days Grace,alternative metal,2003.0,89.0,83.0,50.0,-5.0,14.0,45.0,231.0,0.0,4.0,76.0,CA
Stacy's Mom,Fountains Of Wayne,pop rock,2003.0,118.0,75.0,77.0,-5.0,8.0,93.0,198.0,0.0,4.0,76.0,US
Breaking the Habit,Linkin Park,alternative metal,2003.0,100.0,85.0,58.0,-5.0,9.0,58.0,197.0,11.0,3.0,75.0,US
Suga Suga,Baby Bash,chicano rap,2003.0,82.0,75.0,66.0,-3.0,8.0,54.0,239.0,69.0,27.0,75.0,US
Roses,Outkast,atl hip hop,2003.0,109.0,71.0,75.0,-6.0,11.0,51.0,370.0,5.0,5.0,73.0,US
Someday,Nickelback,alternative metal,2003.0,163.0,86.0,46.0,-6.0,23.0,60.0,207.0,0.0,4.0,73.0,CA
Sway,Michael Bublé,adult standards,2003.0,126.0,64.0,71.0,-6.0,9.0,74.0,188.0,75.0,3.0,73.0,CA
I Believe in a Thing Called Love,The Darkness,glam metal,2003.0,128.0,85.0,44.0,-5.0,28.0,62.0,218.0,5.0,8.0,71.0,GB
Rock Wit U (Awww Baby),Ashanti,dance pop,2003.0,95.0,80.0,71.0,-3.0,16.0,85.0,209.0,41.0,6.0,71.0,US
Superstar,Jamelia,europop,2003.0,110.0,65.0,80.0,-7.0,4.0,82.0,215.0,5.0,4.0,71.0,GB
The Way You Move (feat. Sleepy Brown),Outkast,atl hip hop,2003.0,126.0,60.0,87.0,-5.0,6.0,64.0,234.0,13.0,5.0,71.0,US
Baby Boy (feat. Sean Paul),Beyoncé,pop,2003.0,91.0,49.0,66.0,-9.0,22.0,79.0,245.0,8.0,22.0,70.0,US
In the Shadows,The Rasmus,finnish alternative rock,2003.0,106.0,80.0,60.0,-4.0,48.0,75.0,258.0,0.0,3.0,70.0,FI
Maps,Yeah Yeah Yeahs,alternative dance,2003.0,120.0,94.0,50.0,-5.0,55.0,12.0,220.0,0.0,7.0,70.0,US
Right Thurr,Chingy,crunk,2003.0,92.0,75.0,87.0,-4.0,6.0,89.0,251.0,15.0,25.0,70.0,US
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,dance pop,2003.0,102.0,40.0,89.0,-6.0,8.0,76.0,237.0,45.0,13.0,69.0,US
Into You (feat. Tamia),Fabolous,gangster rap,2003.0,182.0,54.0,55.0,-8.0,12.0,58.0,296.0,23.0,5.0,69.0,US
Milkshake,Kelis,dance pop,2003.0,113.0,77.0,88.0,-6.0,21.0,76.0,183.0,1.0,4.0,69.0,US
Daughters,John Mayer,neo mellow,2003.0,125.0,41.0,67.0,-8.0,10.0,50.0,238.0,84.0,3.0,68.0,US
Everytime,Britney Spears,dance pop,2003.0,110.0,28.0,40.0,-13.0,12.0,11.0,230.0,97.0,3.0,68.0,US
Naughty Girl,Beyoncé,pop,2003.0,100.0,47.0,74.0,-9.0,10.0,64.0,209.0,24.0,9.0,68.0,US
Hero (feat. Josey Scott),Chad Kroeger,alternative rock,2003.0,147.0,84.0,43.0,-5.0,18.0,30.0,200.0,0.0,4.0,67.0,CA
No Letting Go,Wayne Wonder,dancehall,2003.0,100.0,82.0,50.0,-6.0,18.0,32.0,202.0,5.0,4.0,67.0,US
Satisfaction - Isak Original Extended,Benny Benassi,edm,2003.0,130.0,70.0,79.0,-4.0,7.0,34.0,286.0,16.0,10.0,67.0,IT
You Don't Know My Name,Alicia Keys,neo soul,2003.0,167.0,66.0,26.0,-8.0,34.0,25.0,367.0,59.0,19.0,67.0,US
Slow Motion,JUVENILE,bounce,2003.0,173.0,73.0,71.0,-5.0,7.0,89.0,248.0,55.0,33.0,66.0,US
Trick Me,Kelis,dance pop,2003.0,107.0,72.0,97.0,-3.0,33.0,96.0,206.0,4.0,15.0,66.0,US
